2019-04-10 11:39:26.480 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2019-04-10 11:39:26.494 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.infra Logback ]
2019-04-10 11:39:26.511 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.mw.access in Java -D argument, put value LbdFKpOHKoIbVsZzcY into System
2019-04-10 11:39:26.512 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.antvip.endpoint in Java -D argument, put value 100.103.1.174 into System
2019-04-10 11:39:26.512 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.mw.secret in Java -D argument, put value V5WLSXPcHciRbryO8yGbBnIZR6hAzKTd into System
2019-04-10 11:39:26.513 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.alipay.env in Java -D argument, put value shared into System
2019-04-10 11:39:26.513 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.alipay.instanceid in Java -D argument, put value NL5BE0HMFUPJ into System
2019-04-10 11:39:26.524 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.rest Logback ]
2019-04-10 11:39:26.554 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.rpc Logback ]
2019-04-10 11:39:31.639 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2019-04-10 11:39:31.642 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.runtime Logback ]
2019-04-10 11:39:31.658 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2019-04-10 11:39:31.659 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.healthcheck Logback ]
2019-04-10 11:39:41.738 [main] INFO  cloud.provider.SOFABootSpringApplication - Starting SOFABootSpringApplication on ali-180366.local with PID 78158 (/Users/yuanshaopeng/Project/sofa-practice-code/sofa-rpc/bank-sofa-rpc-provider-parent/bank-sofa-provider-service/target/classes started by yuanshaopeng in /Users/yuanshaopeng/Project/sofa-practice-code/sofa-rpc/bank-sofa-rpc-provider-parent)
2019-04-10 11:39:41.738 [main] DEBUG cloud.provider.SOFABootSpringApplication - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
